texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 :///kcjp1avx9m'
' @ezequiasns:  :///cut1yfiglb'
' @ezequiasns:  :///yh82tomg46'
' @ezequiasns:  :///mwtbqsawwm'
' @ezequiasns:  :///p9cbwra5q4'
' @ezequiasns:  :///6hrdpc69fl'
' @ezequiasns:  :///t8ngkvgeyj'
' @ezequiasns:  :///lr9sy5nb8r'
' @ezequiasns:  :///7cag0ixhpv'
' @ezequiasns:  :///7cag0ixhpv'
' @ezequiasns:  :///evh1vahhcj'
' @ezequiasns:  :///cut1yfiglb'
' @ezequiasns:  :///evh1vahhcj'
' @ezequiasns:  :///mwtbqsawwm'
' @ezequiasns:  :///rnawy9pvyq'
' @ezequiasns:  :///cut1yfiglb'
' @ezequiasns:  :///mwtbqsawwm'
' @ezequiasns:  :///evh1vahhcj'
' @ezequiasns:  :///lr9sy5nb8r'
' @ezequiasns:  :///mwtbqsawwm'
' @ezequiasns:  :///9v06gth8ve'
' @ezequiasns:  :///ththsl8hwl'
' @osvladpereira: pt decide suspender palocci por confessar crimes e incriminar lula   :///3rzarvxwtn :///z…'
' @ezequiasns:  :///urpdl8tkte'
'@hellraiserorcus @luheisenberg @moraescarmen @valdirene8975 @pgiolli @m1anonymous @rcrevelone @vanusaabreuc @maulroou @arisirius @robert_fortes @joeduardoaraujo @oslecmac74 @pandarcds @lucianotigana @markosbrito1 @osantipira @bobiackk @alexfdmn @yghacci @bleylacerda @a_bem_d_verdade @cecconellogiu @betozsantos @mlulatica @pauloba30395640 @adrianasscamar1 @arykame @socialcaipira @alexand60629795 @dekave1983 @chantecler @velindade @sandracantii @robervalguaru @games2002 @ipompermayer @toniferreirax @cesartorres2014 @platao54 @mufdvr71 @genumano @guti_hique @jeff04050405 @luissoria54 @phaviih2 @dorivas5 @silvanamarta15 @lciapontes1 @o_ponderador os eleitores do larápio nos acusa do que eles fazem: defendem bandidos minha felicidade é ver os dois na cadeia  #aecionacadeia :///evse3wbrl4'
' @ezequiasns:  :///yjxyxdpo85'
' @ezequiasns:  :///rnawy9pvyq'
' @ezequiasns:  :///cut1yfiglb'
'@clenilton_costa @oglobopolitica não sô😂😂trem bom demais da conta uai '
' @ezequiasns:  :///evh1vahhcj'
' @ezequiasns:  :///urpdl8tkte'
'@maira203 @gnatalini brasil precisa fazer um plebiscito urgente sobre 4 coisas: 1) governo militar 2) pena de morte 3)  4) palmeiras não tem mundial'
' @ezequiasns:  :///f11xt0k5la'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @ezequiasns:  :///cut1yfiglb'
' @ezequiasns:  :///yh82tomg46'
' @ezequiasns:  :///ththsl8hwl'
' @ezequiasns:  :///ththsl8hwl'
' @ezequiasns:  :///9v06gth8ve'
' @titoporto10: as pessoas precisam de convencer que o pt é uma facção criminosa o sindicato  dos ladrões #lavajato  :…'
' @ezequiasns:  :///cut1yfiglb'
' @ezequiasns:  :///t8ngkvgeyj'
' @ezequiasns:  :///oezqjahfbk'
'só esperando o chefe  :///tsdu397r5r'
' @rogomonev: @rcp01 #foragilmar  #maduropreso #foratemer #foraaecio #mpindependente #3poderespodres #naoreelejaninguem #10me…'
' @ezequiasns:  :///evh1vahhcj'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @rogomonev: @rcp01 #foragilmar  #maduropreso #foratemer #foraaecio #mpindependente #3poderespodres #naoreelejaninguem #10me…'
'#rocinha #venezuela #cuba serra dourada #fimdomundo #fakenews #sabadodetremurasdv #maga #rockinrio #chage  #globonews #bbcnews :///sviauj85rb'
' @guarosen: só esperando o chefe  :///tsdu397r5r'
'@correio_dopovo já devia estar  faz tempo não existe @stf_oficial justiça nesse brasil @mpf_sp @policiafederal @camaradeputados @senadofederal'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
"' @to_de_olho: a verdade dói, mas liberta  um post vale mais que mil palavras  :///v4pv4d4opl'"
' @iabsilva2: é muita cara de pau   :///x5khtznh7t'
' @ezequiasns:  :///cut1yfiglb'
' :///qfqnskji41'
' @iabsilva2: o aporte milionário na previdência de lula foi feito em um único dia de 2014 justo pelo instituto lula  :/…'
' :///k7o5yy4jf9'
' @ezequiasns:  :///k7o5yy4jf9'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///t8ngkvgeyj'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///evh1vahhcj'
' :///n7xa8defy1'
' @ezequiasns:  :///evh1vahhcj'
' :///dvixlujp0s'
' :///gqlt7gpvp9'
' @ezequiasns:  :///dvixlujp0s'
' @ezequiasns:  :///n7xa8defy1'
' @ezequiasns:  :///dvixlujp0s'
' @ezequiasns:  :///n7xa8defy1'
' @ezequiasns:  :///gqlt7gpvp9'
' @ezequiasns:  :///dvixlujp0s'
' @ezequiasns:  :///n7xa8defy1'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @bichosrevolucao: @correio_dopovo já devia estar  faz tempo não existe @stf_oficial justiça nesse brasil @mpf_sp… '
'é isso artista apoia os bandidos quer combater o crime como os famosos é mais canalha #intervencaomilitarja ladrão corruto  :///hjms4pgkog'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @ezequiasns:  :///gqlt7gpvp9'
"' @marimpnetto: já deu, basta,prendam todos os politícos já , temer, dilma, aécio, renan seus comparsas também    :…'"
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' :///a3phblp9ug'
' @ezequiasns:  :///a3phblp9ug'
' @ezequiasns:  :///a3phblp9ug'
' @paulacamara_: lula tem duas derrotas em pedidos contra moro    :///pmspqhdmfs'
' @paulacamara_: mourão e o recado a lula   :///w6wznnhrv3 :///si7ir0a5sd'
' @ezequiasns:  :///a3phblp9ug'
"'@villamarcovilla  mas agora vão dizer que o pt é que é culpado, vcs chegaram quando ao br pois não e de hoje que que está cheio corruptos ladrão msmo'"
' :///zq6t1ol7hq'
' @anaamvs_sanches:  @globonews @redeglobo :///he8mhcmihe'
' :///fuk5lbwb5u'
' @ezequiasns:  :///fuk5lbwb5u'
' :///0ifioizlbl'
' :///hhafdgzsk7'
' :///w9glgy8uzl'
' :///up5fkob5fj'
' @ezequiasns:  :///n7xa8defy1'
"'vou esperar pelo #lavajato ii trará a prisão do #ninefingers, o facínora number one of brazil  d+ corruptos, tb :///4ygipsdc5h'"
' @ezequiasns:  :///hhafdgzsk7'
' @ezequiasns:  :///0ifioizlbl'
' @ezequiasns:  :///hhafdgzsk7'
' :///ecxi4rx6qd'
' @ezequiasns:  :///n7xa8defy1'
' @ezequiasns:  :///ecxi4rx6qd'
' @ezequiasns:  :///a3phblp9ug'
' @ezequiasns:  :///ecxi4rx6qd'
"'ansiosamente aguardando o será que @inst_lula perde o emprego e @dilmabr, vai junto  september 23, 2017 at 09:00am'"
"'já fizeram isso uma vez, espero que não repitam @ptbrasil @lulapelobrasil  :///336rv8i0tg'"
' @ezequiasns:  :///ecxi4rx6qd'
' @ezequiasns:  :///up5fkob5fj'
' @ezequiasns:  :///n7xa8defy1'
'vai matar +1   :///gisf1tbjaa'
' :///cony5rtkul'
' @ezequiasns:  :///oezqjahfbk'
' @ezequiasns:  :///oezqjahfbk'
' tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///ecxi4rx6qd'
' @ezequiasns:  :///up5fkob5fj'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///w9glgy8uzl'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///hhafdgzsk7'
' @ezequiasns:  :///ecxi4rx6qd'
' @ezequiasns:  :///0ifioizlbl'
' @ezequiasns:  :///fuk5lbwb5u'
' @ezequiasns:  :///zq6t1ol7hq'
' @ezequiasns:  :///a3phblp9ug'
' @ezequiasns:  :///gqlt7gpvp9'
' @ezequiasns:  :///dvixlujp0s'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///n7xa8defy1'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///qfqnskji41'
' @ezequiasns:  :///ecxi4rx6qd'
' @ezequiasns:  :///mwtbqsawwm'
' @ezequiasns:  :///01ntmcw0ry'
' @ezequiasns:  :///6hrdpc69fl'
' @ezequiasns:  :///t8ngkvgeyj'
' @ezequiasns:  :///hsitoh3tfy'
' @ezequiasns:  :///9v06gth8ve'
' @ezequiasns:  :///ththsl8hwl'
' @nandotmtavares: eu exijo  :///ll3ao8ttq6'
' @ezequiasns:  :///rnawy9pvyq'
' @ezequiasns:  :///jcalbim1jj'
' @ezequiasns:  :///cut1yfiglb'
' @ezequiasns:  :///lr9sy5nb8r'
' :///ywx2hoz4kf'
' @ezequiasns:  :///yh82tomg46'
' @ezequiasns:  :///32nqx2olyd'
' @ezequiasns:  :///evh1vahhcj'
' @ezequiasns:  :///slnqo3dakv'
' @ezequiasns:  :///ywx2hoz4kf'
' @ezequiasns:  :///p9cbwra5q4'
' @ezequiasns:  :///6hrdpc69fl'
' @ezequiasns:  :///lwdinulkkz'
' @ezequiasns:  :///oezqjahfbk'
' @ezequiasns:  :///7cag0ixhpv'
' @ezequiasns:  :///yjxyxdpo85'
' @ezequiasns:  :///g21djmezpo'
' @ezequiasns:  :///f11xt0k5la'
' @ezequiasns:  :///oezqjahfbk'
' @ezequiasns:  :///urpdl8tkte'
' :///7dglponzpx'
' @ezequiasns:  :///xinybomtoo'
' @ezequiasns:  :///epaksokxv8'
' @ezequiasns:  :///rnawy9pvyq'
' @ezequiasns:  :///gczoeb9pgm'
' @ezequiasns:  :///hdpnrs3ajv'
'tem di menor entre vcs roubando tbm   :///czyeokpbs3'
' @ezequiasns:  :///9v06gth8ve'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///ththsl8hwl'
' @ezequiasns:  :///up5fkob5fj'
' @ezequiasns:  :///oezqjahfbk'
' :///iynxk0ra6u'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///7dglponzpx'
' @ezequiasns:  :///urpdl8tkte'
' @ezequiasns:  :///hdpnrs3ajv'
' :///abr5drbdue'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///evh1vahhcj'
' @ezequiasns:  :///rnawy9pvyq'
' @ezequiasns:  :///zq6t1ol7hq'
' :///vovqrjqn1h'
' @ezequiasns:  :///n7xa8defy1'
' @ezequiasns:  :///oezqjahfbk'
' @ezequiasns:  :///iynxk0ra6u'
' @ezequiasns:  :///ecxi4rx6qd'
' @ezequiasns:  :///0ifioizlbl'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///a3phblp9ug'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///9v06gth8ve'
' @ezequiasns:  :///vovqrjqn1h'
' @ezequiasns:  :///rnawy9pvyq'
' @blogdotato67: na papuda                                                  #tocommoro :///m2uzae2yla'
' @ezequiasns:  :///lwdinulkkz'
"' @blogdotato67: farah jorge farah se mata, após ter prisão decretada aí  fica a dica'"
' @ezequiasns:  :///ecxi4rx6qd'
' @ezequiasns:  :///ththsl8hwl'
' @ezequiasns:  :///yjxyxdpo85'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///abr5drbdue'
' @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
' @ezequiasns:  :///yjxyxdpo85'
' @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
' @ezequiasns:  :///yjxyxdpo85'
' @ezequiasns:  :///cut1yfiglb'
' @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
' @ezequiasns:  :///iynxk0ra6u'
'eu tb não confio no #supremodimerdi  :///hzzhs2roj7'
' @jlsertanejofc: eu tb não confio no #supremodimerdi  :///hzzhs2roj7'
' @ezequiasns:  :///yjxyxdpo85'
' @ezequiasns:  :///yjxyxdpo85'
' @ezequiasns:  :///7dglponzpx'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///yjxyxdpo85'
' @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
' @nandotmtavares: eu exijo  :///ll3ao8ttq6'
' @ezequiasns:  :///yjxyxdpo85'
"' @blogdotato67: farah jorge farah se mata, após ter prisão decretada aí  fica a dica'"
' @ezequiasns:  :///iynxk0ra6u'
' @ezequiasns:  :///abr5drbdue'
'@ptbrasil estão com medo ne por isso querem tanto analisar as delações '
'@fernandoholiday @mariadorosario essa mulher não pode ver uma vergonha que já quer passar kkkkkkkkkk  #paz ✋ '
' @ezequiasns:  :///oezqjahfbk'
'@jornaloglobo @rogomonev @ptbrasil o ladrão que surrupiou nosso dinheiro ainda tem a cara de pau de pedir uma vaquinha solidária  a papuda te espera '
' @ezequiasns:  :///oezqjahfbk'
"'ser gay não é doença, doença é quem muda insiste em achar que o lula é honesto  '"
'@mariadorosario vc é burra assim mesmo ou é mau intencionada fala sério né    #bolsonaro2018'
' @ezequiasns:  :///evh1vahhcj'
' @ezequiasns:  :///xinybomtoo'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///yh82tomg46'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @blogdotato67: na papuda                                                  #tocommoro :///m2uzae2yla'
'@o_colecionador soltaram bolhas de sabão acho q os bandidos só irão se entregar se soltarem bolhas de sabão e cantar imagine #paz ✋ '
"' @blogdotato67: farah jorge farah se mata, após ter prisão decretada aí  fica a dica'"
' @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
"'ser gay não é doença, doença é quem insiste em achar que o lula é honesto  '"
' @ezequiasns:  :///k7o5yy4jf9'
' :///w2iwcqn9so'
' @ezequiasns:  :///cut1yfiglb'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///k7o5yy4jf9'
' :///hg0kf6yv0p'
' @ezequiasns:  :///k7o5yy4jf9'
'@ptbrasil @gleisi o que o povo quer é o  isso sim'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///oezqjahfbk'
'nossos bilhões na venezuela já foram para o ralo  e vc ai acha que os outros anjinhos na foto vão pagar   :///bg7idagwhz'
' @ezequiasns:  :///gczoeb9pgm'
' // lula está completamente perturbadoagora ele fica só de olho nas pesquisas pra ver se está bem colocado kkkkkcoitado'
' @ezequiasns:  :///rnawy9pvyq'
' @ezequiasns:  :///gczoeb9pgm'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
'vão matar ele ainda dentro da cadeia   :///wijykbssog'
"'@wagnermouramia @marisascruz ladrão que deleta ladrão não merece perdão, merece parceiro de cela '"
'a gente vê que esse país não deu certo quando o pessoal no rock in rio grita #foratemer em vez de '
' @ezequiasns:  :///p9cbwra5q4'
'@lulapelobrasil olha que homenagem singela :///s7vkpjclfc '
' @ezequiasns:  :///mwtbqsawwm'
' @carvaparecida:  // lula está completamente perturbadoagora ele fica só de olho nas pesquisas pra ver se está bem coloca…'
'@renovamidia justo assim deveriam fazer com toda quadrilha  '
' @mary_greicy:  :///w2iwcqn9so'
' @blogdotato67: na papuda                                                  #tocommoro :///m2uzae2yla'
"' @blogdotato67: farah jorge farah se mata, após ter prisão decretada aí  fica a dica'"
' @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
'@lulapelobrasil lula tua nova casa já está a sua espera  :///lqgwvvji7n'
'um dia o sol ainda vai nascer quadrado  #titãsnomultishow  '
'#titasnorockinrio #titãsnomultishow    vossa excelência ✓ :///lupzolktjr'
'#p-a-r-a-t-u-d-o :///ado2n0shwo'
' @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'@lulapelobrasil este símbolo me dá orgulho e para ti  lhe trará justiça que você apodreça na cadeia #lulacorrupto :///keeja8dqab'
' @iabsilva2: o aporte milionário na previdência de lula foi feito em um único dia de 2014 justo pelo instituto lula  :/…'
' @ezequiasns:  :///gczoeb9pgm'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @izidiooliver: tem di menor entre vcs roubando tbm   :///czyeokpbs3'
' @ezequiasns:  :///iynxk0ra6u'
' @ezequiasns:  :///vovqrjqn1h'
'@ptbrasil @gleisi o brasil que o povo quer: #fimdopt  #gleisipresa'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///cut1yfiglb'
' @marcinhomeio: #titasnorockinrio #titãsnomultishow    vossa excelência ✓ :///lupzolktjr'
'@zehdeabreu só imbecil na tua timeline quem que vai prender o moro  vcs são mto patéticos  #lulaqueseferre #ptqueexploda'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///gczoeb9pgm'
' @oliveira27m: queremos a prisão do chefe  :///q9cm7wtguu'
' @ezequiasns:  :///gczoeb9pgm'
'glória a deus  :///1ctdasspri'
'bando de hipócritas nojentos   :///uytidwivsk'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
'  #lulainelegivel :///a7sufafosb'
' @ezequiasns:  :///gczoeb9pgm'
'@bbcbrasil todos sabem que os estados unidos são o páis mais comunista fabiano que existe não dá pra acreditar em fake news '
' @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo :///w30fyx9d5u   #lavajato #lula…'
' @raphaeltoledo: atenção a @mariadorosario vai lá na rocinha resolver a guerra fiquem tranquilos #rocinha  #brasil'
' @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link :///pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
"'@folha o país se recuperando em todas as áreas,  vem a viúva petista choramingando #ptnuncamais '"
' @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  :///7uarnsgpzf #lavajato #lavajato  #lulan…'
"' @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari :///90tolnuqwi    #fo…'"
'#policiafederal  policiafederal   :///xet32p9pjw'
'@jornaloglobo porquê a globo insiste em dizer que sexo é amor eita emissora imunda vai te lascar globosta e antes que eu esqueça   '
'#brasil (in portuguese)  :///pj6z3ugtpy'
' @arcofi: #sanatóriogeral: professor de botequim :///enatfot1ar via @veja '
"' @mlganga: @folha o país se recuperando em todas as áreas,  vem a viúva petista choramingando #ptnuncamais '"
' @ezequiasns:  :///9v06gth8ve'
' @ezequiasns:  :///gczoeb9pgm'
' @ezequiasns:  :///gczoeb9pgm'
' @ezequiasns:  :///gczoeb9pgm'
' @ezequiasns:  :///gczoeb9pgm'
"' @mlganga: @folha o país se recuperando em todas as áreas,  vem a viúva petista choramingando #ptnuncamais '"
'e aquele grito faminto de pão com mortadela pão com mortadela esses fascistas vermelhos 🐽👨🏻‍⚖️👮🏻 #gleisinacadeia :///se3vuf8dwp'
'    #emendalulanão  #fundopartidárionão :///8wejdoiqka'
' @mary_greicy:     #emendalulanão  #fundopartidárionão :///8wejdoiqka'
"' @walterct: @wagnermouramia @marisascruz ladrão que deleta ladrão não merece perdão, merece parceiro de cela '"
'#extincaodopt  #prisaoparacorruptos :///qrd25edsxj'
' @ezequiasns:  :///oezqjahfbk'
' @ezequiasns:  :///gczoeb9pgm'
'@blogdojefferson desde qdo se faz doação com dinheiro público o 9 dedos e a mocreia deveriam pagar e serem julgados por lesarem a pátria '
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///cut1yfiglb'
' @ezequiasns:  :///evh1vahhcj'
'@deciolimapt @lulapelobrasil chola chola '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @ezequiasns:  :///ththsl8hwl'
'@deciolimapt '
' @mary_greicy:     #emendalulanão  #fundopartidárionão :///8wejdoiqka'
' @ezequiasns:  :///k7o5yy4jf9'
' @ezequiasns:  :///9v06gth8ve'
'#psicopataesquerdista #esquerdanuncamais #destruaoforodesp  :///izfejlyhsw'
' @mary_greicy:     #emendalulanão  #fundopartidárionão :///8wejdoiqka'
' @pmniemeyer: #extincaodopt  #prisaoparacorruptos :///qrd25edsxj'
' @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos :///aevzx6usgp'
' @ezequiasns:  :///oezqjahfbk'
' @somerlux: @humbertocostapt  #rockinrio2017 #rockinrio  #ptroubouinibidores anfepramona femproporex mazind… '
"' @mlganga: @folha o país se recuperando em todas as áreas,  vem a viúva petista choramingando #ptnuncamais '"
' @rogomonev: @rcp01 #foragilmar  #maduropreso #foratemer #foraaecio #mpindependente #3poderespodres #naoreelejaninguem #10me…'
"' @rosangela_bolze: pelo amor deus, #moro  já  criminoso e terrorista alto risco social @stf_oficial @mpf_pgr @mpf_prpr htt…'"
'vem ai a 2ª condenação na 1ª  instância e a 1ª condenação na 2ª instância  :///jy2n9lvm5y'
"' @rosangela_bolze: pelo amor deus, #moro  já  criminoso e terrorista alto risco social @stf_oficial @mpf_pgr @mpf_prpr htt…'"
"' @rosangela_bolze: pelo amor deus, #moro  já  criminoso e terrorista alto risco social @stf_oficial @mpf_pgr @mpf_prpr htt…'"
' @osvladpereira: vem ai a 2ª condenação na 1ª  instância e a 1ª condenação na 2ª instância  :///jy2n9lvm5y'
' @osvladpereira: vem ai a 2ª condenação na 1ª  instância e a 1ª condenação na 2ª instância  :///jy2n9lvm5y'
'avante exército contra os hipócritas  :///r6wmwemo8q'
"' @rosangela_bolze: pelo amor deus, #moro  já  criminoso e terrorista alto risco social @stf_oficial @mpf_pgr @mpf_prpr htt…'"
'@muylaerte hahahaha perfeita definição bêbado mijado  e pra cadeia já '
' @ezequiasns:  :///t8ngkvgeyj'
' @ezequiasns:  :///t8ngkvgeyj'
' @ezequiasns:  :///mwtbqsawwm'
' @osvladpereira: vem ai a 2ª condenação na 1ª  instância e a 1ª condenação na 2ª instância  :///jy2n9lvm5y'
' #bolsonaro2018 #intervencaomilitarja #política :///fa4vbeoxlm'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
"' @rosangela_bolze: pelo amor deus, #moro  já  criminoso e terrorista alto risco social @stf_oficial @mpf_pgr @mpf_prpr htt…'"
"'@lutandomuito @aliceelendutra3 @zethede @luheisenberg @rcrevelone @rodrigojfmg1981 @isabelviso @rubenscrevelone @chico_amaro @barella_sfc @ioneatuante4 @giovannarocco @sylvestresergio @arykame @severino_freud @bobjackk @thiagofc3079 @sandracantii @pablitohistory @arisirius @ceribeiro82 @mlulatica @rubinhoarte @ramesojalves @pgiolli @antonsilva @betozsantos @periodistabr @vagnerjack @walfredocarlos @valmont1 @mariluparreiras @fatimaleaum @edson13pt @ulises_4inter @mary_mayah @auberaraujo @rmelette @uli_cassilva @maulroou @crisbezig @rightthingbr @nikolasspagnol @bobiackk @vazatemer @vazamaia @jensoares73 @vanusaabreuc uma ressalva, só os professores de história que são esquerdopatas idiopatizados igual aos petistas  :///piqvqcmtee'"
' @ezequiasns:  :///oezqjahfbk'
'estão queimando a bandeira do brasil  #intervençãomilitarjá :///lh99pfvslc via @youtube'
'@estadao @estadaomoda '
"'@estadao @estadaomoda já falou fora temer, já sofre de deficiência na memória fora que o talento dos arti$ta$ de hoje é zero #fakenews   :///6lor89bgfi'"
' @ezequiasns:  :///yh82tomg46'
' @ezequiasns:  :///gczoeb9pgm'
' @ezequiasns:  :///qfqnskji41'
' @ezequiasns:  :///01ntmcw0ry'
'#thewhonomultishow the who no rock in rio e '
"'@veja petista, nada anormal, somente imbecis que ainda defendem lula, dilma e outros, sem mais '"
' @ezequiasns:  :///grmtnkiihh'
' @ary_antipt: só pra não esquecer lula na cadeia    :///nsy7vrobui'
' @paulacamara_: mourão e o recado a lula   :///w6wznnhrv3 :///si7ir0a5sd'
"'toca , por favor #heinekenplay'"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'retweeted marco antonio villa (@villamarcovilla):    #ptextinçãojá @villamarcovilla :///urfthzjmve'
"'@alvarodias_ segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas também'"
"'segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas também :///cceioio2d4'"
'@onubrasil @raimundoangelim  #dilmanacadeia'
' @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo :///w30fyx9d5u   #lavajato #lula…'
' @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link :///pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
' @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  :///7uarnsgpzf #lavajato #lavajato  #lulan…'
"' @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari :///90tolnuqwi    #fo…'"
"'presos só na manchete do jornal pq na vida real, tão livres #cadeiapratodoscorruptosjá já :///q8mrw4bgid'"
"'segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas também :///5gmlzody4r'"
"'@danikpmoraes segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas também'"
"' @marimpnetto: @danikpmoraes segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus compa…'"
"' @marimpnetto: segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas ta… '"
"' @marimpnetto: segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas ta… '"
' @ezequiasns:  :///9v06gth8ve'
' @osvladpereira: pt decide suspender palocci por confessar crimes e incriminar lula   :///3rzarvxwtn :///z…'
