"'cadê o   daqui a pouco vc vai ser investigado também, abre o olho https://tco/ownrphk35l'"
'#lulanao  #bolsonaronao  brasil acaminho do retrocesso um facista é o outro ladrão https://tco/om5ov5mfch'
'rt @miraacre:  https://tco/ztdaf9zuyj'
'rt @leoprr01: mas não perca o foco  https://tco/ovey286q3a'
"'ficará salto enquanto a justiça é lenta,mas não escapará da prisão https://tco/ujbbejwwi2'"
'só queria saber de todo esse dinheiro arrecadado quanto vai p em cuecas e apartamento de politico corruptos  🤔🤔🤔   #foratemer https:'
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
'rt @miraacre:  https://tco/ztdaf9zuyj'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://tco/fzmluxeb1z'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @mary_greicy:   #prisãosegundainstânciasim https://tco/0cphaib8de'
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @gettshullenffen: @g1  esse é o valor pago em persistir no desarmamento do cidadão #globolixo #forajudithbutler  https://t…'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
"'ansiosamente aguardando o será que @inst_lula perde o emprego e @dilmabr, vai junto  october 31, 2017 at 09:00am'"
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @leoprr01: mas não perca o foco  https://tco/ovey286q3a'
"'@jandira_feghali fica gel, fia, nós vamos acabar com a esquerda parasita, sanguessuga, inútil, vagabunda  #dilmanacadeia #temernacadeia'"
"'@lliancostaduar1 @jandira_feghali incrível, a esquerda não admite que elegeu temer  #dilmanacadeia #temernacadeia(depois de terminar o mand'
"'@dilmabr tá na hora de aumentar a dose do remedinho querida,  não tá fazendo efeito,  surtou de vez#ptjaera  #epassadenaquerida'"
'rt @leoprr01: mas não perca o foco  https://tco/ovey286q3a'
'  #republicadecuritiba #lavajato  #halloween  #happyhalloween2017 https://tco/tozfudljfz'
'saiu a canonização do  https://tco/tl9tyqdxpg'
'como acreditar nessas pesquisas fajutas se nas manifestações dos quadrilheiros só aparecem os mortadelas de sempre  https://tco/aj9fvi0pwz'
'@ultrajano  eita https://tco/vrgkqmxome'
'@kercherjpg @jorjealee é por causa de gente que nem vc que essa palhaçada continua '
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @paulacamara_: lula por minas gerais - uma multidão no discurso de lula   https://tco/cjdj8efkmn'
'e depois vem me falar que não é patologia  #bolsonaro2018 https://tco/t8qwv7zd8u'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'@ptbrasil já ajudamos o suficiente  vocês nos roubaram por 14 anos e ainda querem mais financiamento    #ptnuncamais #bolsonaro2018'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
"'@humbertocostapt você é merecedor de desprezo por tratar o povo como ignorante, acha que não sabemos que estes 14 milhões são a herança'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @ezequiasns:  https://tco/lykrtb6blx'
'rt @ezequiasns:  https://tco/fifs2bimcm'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
"'@lulapelobrasil não, se não existisse fotoshop diríamos que tinha só meia dúzia de alienados e um chefe de quadrilha #luladrao #ptlixo ''
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @paulacamara_: lula por minas gerais -  bh recebe lula   https://tco/osoxxvtf2l'
"' eleitor não vote em candidatos comunistas e filiados ao foro de são paulo:► pt, psol, rede, pc do b, pdt, pcb, ppl, pps e psb'"
'@jairbolsonaro lula lá lá brilha uma estrela na cela dele '
"'rt @ezequiasns:  eleitor não vote em candidatos comunistas e filiados ao foro de são paulo:► pt, psol, rede, pc do b, pdt, pcb…'"
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'por quê está solto e fazendo campanhas  @movavantebrasil @vemprarua_br @vemplutabrasil @faxinanopoder_ https://tco/m12t8makre'
'#estagiotwitter2018  porquê a hashtag  não sobe'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @ezequiasns:  https://tco/fifs2bimcm'
"'rt @ezequiasns:  eleitor não vote em candidatos comunistas e filiados ao foro de são paulo:► pt, psol, rede, pc do b, pdt, pcb…'"
'@dilmabr @vando_correia  #bolsonaro2018'
'terra adorada entre outras mil és tu brasil #lavajatoapoioincondicional 💛💚💙@n_carvalheira @marialcab @marisascruz @mirandasa_ https:'
' #euapoioalavajato #globolixo https://tco/ked1nndo62'
' https://tco/offw53vwoc'
'rt @ccfreitas:  https://tco/offw53vwoc'
'rt @ccfreitas:  https://tco/offw53vwoc'
'@lacongasex @dilmabr  #dilmanacadeia'
'@mariasilva1512 @dilmabr  #dilmanacadeia'
'rt @ccfreitas:  https://tco/offw53vwoc'
'lula e bolsonaro lideram para 2018 #bolsonaro2018  siga @jairbolsonaro @bolsonarosp @flaviobolsonaro rj https://tco/okcrmfdajk https://tco/udn'
'rt @br45ilnocorrupt: lula e bolsonaro lideram para 2018 #bolsonaro2018  siga @jairbolsonaro @bolsonarosp @flaviobolsonaro r… '
'rt @br45ilnocorrupt: lula e bolsonaro lideram para 2018 #bolsonaro2018  siga @jairbolsonaro @bolsonarosp @flaviobolsonaro r… '
'retweeted  (@flordelotus05):  @br100ptralhas @fatimaordemur @thomas4trump @humbertoreisjr https://tco/n2hyrdtury'
'rt @br45ilnocorrupt: lula e bolsonaro lideram para 2018 #bolsonaro2018  siga @jairbolsonaro @bolsonarosp @flaviobolsonaro r… '
'retweeted  (@flordelotus05):  @br100ptralhas @fatimaordemur @exercitooficial intervenção é a solução https://tco/awhl9p0lfw'
'rt @br45ilnocorrupt: lula e bolsonaro lideram para 2018 #bolsonaro2018  siga @jairbolsonaro @bolsonarosp @flaviobolsonaro r… '
'retweeted  (@flordelotus05):  @fatimaordemur @carlosnogue36 @rj_em_alerta @spd_33 estamos fartos de https://tco/tfr6d22trc'
'retweeted  (@flordelotus05):  @fatimaordemur @uber_brasil é óbvio que tem interesses escusos atrás https://tco/nbjbjkh8xi'
'https://tco/qzkcplhphq  os advogados estão contribuindo pra @lulapelobrasil  ir pra cadeia'
' #lavajato os advogados estão contribuindo para @lulapelobrasil ir pra #cadeia https://tco/wg0pp8ykj7'
"'rt @ezequiasns:  eleitor não vote em candidatos comunistas e filiados ao foro de são paulo:► pt, psol, rede, pc do b, pdt, pcb…'"
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @ana_aguiar1: terra adorada entre outras mil és tu brasil #lavajatoapoioincondicional 💛💚💙@n_carvalheira @marialcab… '
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @ccfreitas:  #euapoioalavajato #globolixo https://tco/ked1nndo62'
'rt @ana_aguiar1: terra adorada entre outras mil és tu brasil #lavajatoapoioincondicional 💛💚💙@n_carvalheira @marialcab… '
'rt @ana_aguiar1: terra adorada entre outras mil és tu brasil #lavajatoapoioincondicional 💛💚💙@n_carvalheira @marialcab… '
'rt @luanportugal_: me orgulho por não seguir alguém que já passou 31 dias em cana por motivo de segurança nacional … '
'rt @ana_aguiar1: terra adorada entre outras mil és tu brasil #lavajatoapoioincondicional 💛💚💙@n_carvalheira @marialcab… '
'rt @luanportugal_: me orgulho por não seguir alguém que já passou 31 dias em cana por motivo de segurança nacional … '
"'rt @06pitalo: @blogdojefferson   algemem logo o lula, antes que ele algeme o brasil'"
'@ronaldomatiasp @anabrazilien @lulapelobrasil @_johnjacob @jairbolsonaro  https://tco/rrk8zlvonz'
'@ronaldomatiasp @anabrazilien @lulapelobrasil @_johnjacob @jairbolsonaro  https://tco/hfehhkh94z'
'@ronaldomatiasp @anabrazilien @lulapelobrasil @_johnjacob @jairbolsonaro  https://tco/gmbsb9gkzx'
"'rt @jerrylandru: @mblivre @ary_antipt @gleisi    r$ 1,00 dos aposentados pode'"
'@lulapelobrasil @mariadorosario nosso vai tomar na rapariga com essas conversas seu filho da putamas gosta de iludir os menos providos de inte'
'rt @leoprr01: mas não perca o foco  https://tco/ovey286q3a'
'the latest jornal do sobre psicologia https://tco/nmn74ea04p # '
"'@ronaldocaiado o pior e que faz campnha antecipada e quem regula so nao deixa outros futuros candidatos, '"
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @fatimaordemur: retweeted  (@flordelotus05):  @br100ptralhas @fatimaordemur @thomas4trump @humbertoreisjr https://tco/n…'
"'rt @paulacamara_: lula por minas gerais: “ ladrão , safado , vagabundo  “  https://tco/n3octss32z'"
'rt @cristalg4: pior período p brasil e p deseducar e comunizar os brasileiros a verdade prevaleceu e brasil quer  https://tco/4siz…'
"'@aracibrolo pra se ver que, depois de implantado em uma nação, o comunismo não acaba “de baixo pra cima” só a elite acaba com comunis'
'para nunca esquecermos  lulanacadeia lulanacadeia lulanacadeia lulanacadeia lulanacadeia lulanacadeia lulanacadeia https://tco/nllmazniiz'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @luanportugal_: me orgulho por não seguir alguém que já passou 31 dias em cana por motivo de segurança nacional … '
"'rt @mara_aldrighi: @lliancostaduar1 @jandira_feghali incrível, a esquerda não admite que elegeu temer  #dilmanacadeia… '"
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'@lulapelobrasil olha a ditadura chegando aí minha gente o homem quer acabar com a liberdade da imprensa '
"'rt @panichiraphael: vídeo do fiasco do comício de lula, em minas gerais, governador valadares  https://tco/b3ncdrjaak'"
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @titoporto10:  #lavajato os advogados estão contribuindo para @lulapelobrasil ir pra #cadeia https://tco/wg0pp8ykj7'
'lula na cadeia  mantenha o foco   https://tco/pao26ltngj'
"'kkkkkkk vtnc,  https://tco/rzv1nujicp'"
'rt @panichiraphael: lula na cadeia  mantenha o foco   https://tco/pao26ltngj'
' 👊👊👇👇👇 https://tco/6vsvq5fqaz'
'a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @panichiraphael: lula na cadeia  mantenha o foco   https://tco/pao26ltngj'
'lula na cadeia  mantenha o foco   https://tco/wmeawflwrm'
'rt @avancabrasil_: lula na cadeia  mantenha o foco   https://tco/wmeawflwrm'
'não tenho #leirouanet pra apoiar pt nem achar q temer é pior q lula e dilma #foracorrupção '
'rt @avancabrasil_: lula na cadeia  mantenha o foco   https://tco/wmeawflwrm'
"'boicote às #fakenews da @exame, @veja e @abril   #lavajato #vejalixo #abrillixo (lugar de ladrão é na cadeia) https://tco/9nfxipuuvr'"
"'@desesquerdizada @exame boicote às #fakenews da @exame, @veja e @abril   #lavajato #vejalixo #abrillixo lugar de ladrão é na cadeia, canal'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
' prisão postergada https://tco/0k94n8ddob'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
"'@alex_borges que jararacabebum rouba, e rouba muito, ninguém duvida '"
'rt @titoporto10:  #lavajato os advogados estão contribuindo para @lulapelobrasil ir pra #cadeia https://tco/wg0pp8ykj7'
'@exame  um corrupto condenado liderando pesquisa pobre país de idiotas'
'@deputadofederal '
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'onde tem foro de são paulo tem corrupção roubalheira #foraforodesaopaulo  https://tco/jbeobnrzp6'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'@redeglobo @jairbolsonaro @mblivre @faxinanopoder_ @conexaopolitica @coxinhabrasil61 @aprmarau @vemplutabrasil #bolsonaro2018  https://tco/gum'
' https://tco/d12apb9wne'
'@laurojardim isto é um deboche com a justiça brasileira e um tapa na cara do povo honesto uma aberração sem precedentes é vergonhoso '
'@berocorreia @laurojardim a globo está contra o temer então o senhor é a favor kkkkk e lula está contra a justiça brasileira e isto é ac'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
"'@humbertocostapt lula voltará vc deve estar louco seu vagabundo, lula vai estar a cadeia e vc junto vc &amp; turma estarao fora da política'
'segundamente  antes que #stfvergonhanacional  libere ele de uma vez'
' https://tco/t6b8tt74jq'
"'@dilmabr desagradável né, presidenta vamos lutar p q permaneça assim a senhora bem longe dos brasileiros   exterminada fuck all 🖕🖕 ''
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @ana_aguiar1: terra adorada entre outras mil és tu brasil #lavajatoapoioincondicional 💛💚💙@n_carvalheira @marialcab… '
'@dilmabr '
'rt @fefemotapaiva: acho q o adv do lula vai causar um esvaziamento nas universidadesmt melhor ser revendedora da avon   http…'
'rt @leoprr01: segundamente  antes que #stfvergonhanacional  libere ele de uma vez'
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @paulacamara_: lula por minas gerais - uma multidão no discurso de lula   https://tco/cjdj8efkmn'
'rt @mark_senkd: venezuela: o socialismo rouba o tempo e a vida das pessoas  https://tco/7k8k192hjo'
'olha o nível do jornalismo militantes tomaram conta das redações #ripjornalismo  https://tco/ymqedv0phe'
'@exame depois perguntam por que somos um país de 3o mundo o pt tem sido o maior fornecedor de zumbies pro the walking dead '
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'rt @mark_senkd: venezuela: o socialismo rouba o tempo e a vida das pessoas  https://tco/7k8k192hjo'
"'rt @jin_inoueyoukai: @desesquerdizada @exame boicote às #fakenews da @exame, @veja e @abril   #lavajato #vejalixo… '"
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'  #lulainelegivel  #intervencaomilitarja https://tco/yj1fivjfk2'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
"'@flaviomorgen @ailtonbenedito a chapa sempre foi dilma, durante o impeachment era dilma/temer, agora é só temer, com o perdão do  ao pmdb''
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'@xicosa   hahahahahaha 😂😂😂😂 não roubou pouco https://tco/19nr8hgnfk'
'rt @marimpnetto:  moro autoriza provas da odebrecht em investigação sobre palestras de lula https://tco/7jbty7g8sz via @uolno…'
"'rt @spd_33: 🔰em mg, @lulapelobrasil é recebido aos gritos de ladrão, ladrão #lulanuncamais    #saidapeladireita https://tco…'"
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
"'rt @spd_33: 🔰em mg, @lulapelobrasil é recebido aos gritos de ladrão, ladrão #lulanuncamais    #saidapeladireita https://tco…'"
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
"'rt @spd_33: 🔰em mg, @lulapelobrasil é recebido aos gritos de ladrão, ladrão #lulanuncamais    #saidapeladireita https://tco…'"
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
"'rt @lcrive: haja ignorância, mau caratismo e incompetência p/concorrer com lula  https://tco/44aabmr1ue'"
'@desesquerdizada @bloombergbrasil @mariosbessa @simoneiglesias a única coisa que esse pilantra roubou foi o bolso do povo '
'rt @oliveira27m: queremos a prisão do chefe  https://tco/q9cm7wtguu'
'@folha kkkkkkkkk piada #lulaencantadordejumentos '
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
"'rt @blogdotato67: segundo a pesquisa ibope,   e bolsonaro vão pro segundo turno então quem será o campeão do #brasileirao2017…'"
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
' https://tco/2g5piauo18'
'rt @avancabrasil_: lula na cadeia  mantenha o foco   https://tco/wmeawflwrm'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
'rt @anaamvs_sanches:  https://tco/2g5piauo18'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
' https://tco/wewdxsib5f'
'rt @anaamvs_sanches:  https://tco/2g5piauo18'
'rt @mark_senkd: a cleptomania é o principal indicador de esquerdopatia aguda   https://tco/qb814vr9ud'
'rt @avancabrasil_: lula na cadeia  mantenha o foco   https://tco/wmeawflwrm'
'@folha país sem pt graças a deus #impossível escrever “corrupto” sem pt  '
"'@muylaerte @marialcab quando será que este ser ignóbil, salafrário, decrépito, mentecapto, ladrão, mentiroso, asqueroso, será preso já'
"'@ericamaral10 @marialcab quando será que este ser ignóbil, salafrário, decrépito, mentecapto, ladrão, mentiroso, asqueroso, será preso '
"'rt @spd_33: 🔰em mg, @lulapelobrasil é recebido aos gritos de ladrão, ladrão #lulanuncamais    #saidapeladireita https://tco…'"
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
"'o cara condenado, solto e ainda se dizendo candidato a presidência sério isso '"
'e a mídia brasileira caladinha e se fosse o cunha  https://tco/wpsrek1fv0'
'@uolnoticias e cadê que o pt resolveu esse problema de moradia dos sem teto só sabe usar os pobres como massa de manobra '
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
'rt @titoporto10:  #lavajato os advogados estão contribuindo para @lulapelobrasil ir pra #cadeia https://tco/wg0pp8ykj7'
"'foi condenado, mentiu pra um juiz, deu documento falso e tá aí passeando se dizendo candidatoque justiça é essa '"
"'ainda não vi um condenado pela justiça, réu em vários por corrupção, preso  #chegandoferiadoeeu'"
"'@diogomainardi @marialcab quando será que este ser ignóbil, salafrário, decrépito, mentecapto, ladrão, mentiroso, asqueroso, será preso'
"'que novembro traga justiça pra este país que tem dois pesos, duas medidas '"
'@veja veja '
"'sou de direita sou gorda de mais para passar fome, quer comunismo cuba está aí esquerda vai tomar no cu #bolsonaro2018 '"
'https://tco/43bv9er9z0 '
'rt @titoporto10:  #lavajato os advogados estão contribuindo para @lulapelobrasil ir pra #cadeia https://tco/wg0pp8ykj7'
'rt @mark_senkd: moro autoriza provas da odebrecht em investigação sobre palestras de lula -  https://tco/lh06tkihqo https://t…'
' https://tco/rbjjke5zv8'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'  #intervençãomilitarurgente  #corruptosnacadeia https://tco/rlduf9zywt'
'rt @ana_aguiar1: terra adorada entre outras mil és tu brasil #lavajatoapoioincondicional 💛💚💙@n_carvalheira @marialcab… '
'rt @br45ilnocorrupt: lula e bolsonaro lideram para 2018 #bolsonaro2018  siga @jairbolsonaro @bolsonarosp @flaviobolsonaro r… '
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'pressão máxima é indispensável neste momento dia 15/11 todos às ruas 💛💚💙#fimdodoforoprivilegiado#intervencaomilitarja 💚💛�'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'@ajulysantos #sosvenezuela  '
'fake news   vao tomar no cu   https://tco/sonkqhhrqm'
'@cartacapital #bolsonaro2018 '
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'@jefer234 lula esta sendo perseguido tadinho kkkkkk   e #bolsonaro2018'
'o maior ratão do brasil  https://tco/7vlwbk68pv'
'rt @regis99: o maior ratão do brasil  https://tco/7vlwbk68pv'
'@rudinelebarreto @dead4blue @niltondias_jr @guserodio @ohmykorrasami @whybealright @faitwdemi @drewsiste @forumpandlr '
'rt @paulacamara_: lula por minas gerais - uma multidão no discurso de lula   https://tco/cjdj8efkmn'
'rt @paulacamara_: lula por minas gerais - uma multidão no discurso de lula   https://tco/cjdj8efkmn'
' #lavajato https://tco/tufm26urjg'
'rt @regis99: o maior ratão do brasil  https://tco/7vlwbk68pv'
' #lavajato basta de impunidade https://tco/4wai0kdioe'
'@zehdeabreu  https://tco/lucvuui6lk'
'fato por isso  safado corrupto https://tco/sdzee5ij82'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
'rt @paulacamara_: lula por minas gerais - uma multidão no discurso de lula   https://tco/cjdj8efkmn'
'@jairbolsonaro cade o @exercitooficial e a @policiafederal pra descer a lenha nessas quadrilhas de bandidos '
"'aonde chegamos, condenado  em campanha antecipada nas caravanas da vergonha q óbviamente são fisco escondido pela mídia paga https://tco/f'
"'rt @ficorpedro: aonde chegamos, condenado  em campanha antecipada nas caravanas da vergonha q óbviamente são fisco e… '"
"'rt @ficorpedro: aonde chegamos, condenado  em campanha antecipada nas caravanas da vergonha q óbviamente são fisco e… '"
'rt @regis99: o maior ratão do brasil  https://tco/7vlwbk68pv'
'rt @gettshullenffen: @g1  esse é o valor pago em persistir no desarmamento do cidadão #globolixo #forajudithbutler  https://t…'
'rt @paulacamara_: lula por minas gerais - uma multidão no discurso de lula   https://tco/cjdj8efkmn'
'@desesquerdizada @exame '
'@sandrabrasilia @mestre_tigresa esses esquerdopatas só atraem as mulas hipnotizadas '
'@blogolhonamira @ary_antipt '
'fico indignada com nosso país onde a imprensa tá ibope para um crápula condenado se fosse num país sério não teria espaço  https://tco/'
"'@augustosnunes @marthaeferreira ñ nasceram p/ roubar, mas depois q pegaram gosto pela coisa, ñ largaram mais a vida marginal '"
' https://tco/4liiiginek'
'@macunaimaz '
' https://tco/52nrae16wi'
'@massabrasilero @macunaimaz '
'@freitas__2017 @macunaimaz 👏👏👏👏👏👍 somente uma #intervençãomilitar pra resolver '
'rt @gettshullenffen: @g1  esse é o valor pago em persistir no desarmamento do cidadão #globolixo #forajudithbutler  https://t…'
'  cadê os desembargadores de saco roxo deste país  vergonha disso tudo '
' https://tco/kaphvqjwxu'
'quando eu vejo a frase lula concorrendo em 2018 eu perco toda a esperança na justiça desse país  https://tco/xc0ebiuqkd'
'rt @antoniosous: @gleisi @meirelles presidenta quando é que o pt vai expulsar o #lulacondenado   … '
'como será que anda a perícia dos recibos originais que os advogados do lula entregaram ao juiz moro '
'rt @ioneatuante4:  https://tco/kaphvqjwxu'
'e se perguntarem o que é honestidade  https://tco/jz4qxncuv8'
"'o foco sempre foi, é e será o capo  não me venham com gilmares, mellos e outras ciladas; são coadjuvantes nessa orcrim https://tco/oinvd1'
'o que está faltando para o #lula ir para a cadeia que enrolação do cacete '
'@humbertocostapt vc e pt também nao nos representam '
"'a grana - camuflada por baixo dos panos - éh que faz a velocidade da tramitação éh o brasil, país da bandalheira  https://tco/qracbafeo1'
"'agora vejo que a babaquice humana nunca acaba , quero fazer um financiamento , mas é para a campanha lula para bangu 1  https://tco/2me9wrmf'
'@alsscarvalho @crismenshova @elizalacaille @neilasilva20 @alefrotabrasil #globolixo  #caetanopedofilo  #pedofilianaoearte  #censuranuncamais  '
'rt @julietapedrosa:  https://tco/eahk4quvws'
'esse cara tá certo  corruptos tem que sentir na pele a indignação do povo   #lulapreso #lavajato #mudabrasil  #bolsonaro https://tco/etgksl'
