texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 ht'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
"'@exame sim, a presidente do pavilhão 13 no presídio da papuda não viaja @gleisi, lula será preso e pagará por todos seus crimes '"
'rt @patyarqt: @o_antagonista gleisi finge que vive em uma realidade paralela ela sabe muito bem onde lula estará em 2018 '
'rt @patyarqt: @o_antagonista gleisi finge que vive em uma realidade paralela ela sabe muito bem onde lula estará em 2018 '
"' ‘eles estão mexendo com um político que não roubou, diz lula sobre investigações  https://tco/0kkgx7qg2f'"
"'moro dá 15 dias a lula para provar que valores bloqueados são de marisa -  https://tco/welovfkaux  explica aí, embusteiro '"
'rt @ezequiasns:  https://tco/lkbhzb8rrh'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'#gotrump  #foratemer https://tco/0l3t5okzms'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
' https://tco/bdy5us41rn'
'@jornaloglobo o maior corrupto da história do brasil deve sofrer de alzheimer em estágio crítico cala a boca ridículo  https://tco/ef904lp'
"'@achiare ele mente tanto, acho que ele acredita na própria mentira  o homem é um psicopata    https://tco/9funj8hnqr'"
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'  #ptextinçãojá  https://tco/essijglrjk'
"'basta de impunidade e mimimi botem esse bandido chefe da orcrim   que de honesto, nem a cara de pau https://tco/exb9ezfdno'"
'rt @patyarqt: @o_antagonista gleisi finge que vive em uma realidade paralela ela sabe muito bem onde lula estará em 2018 '
'@jornalivre_br #pt fora de uma forma ou de outra  '
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'mulher se revirando no caixão #lulanaprisao  #fotapt #forapmdb #forapsdb… https://tco/sibhofmagc'
"'rt @deadabarra: @achiare ele mente tanto, acho que ele acredita na própria mentira  o homem é um psicopata    https://tco/9…'"
"'todo setor público é recheado de esquerdistas, mpf/stf ainda++ temos que exigir     ou ficará impune e adversários destruidos'"
"'rt @lcrive: todo setor público é recheado de esquerdistas, mpf/stf ainda++ temos que exigir     ou ficará impune e adversário…'"
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'#politica #politicos #corrupçao #brasilqueopovoquer #sosbrasil #lavajato #policiafederal  #ptnuncamais #foratemer #eleiçoes2018 https://tco/'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'lula e o medo da jaula  https://tco/reqqjqnrhf #brasilqueopovoquer  #lula #lavajato  #stf  #jbs  https://tco/ybjacxzfav'
"'a insanidade bateu, e ficou lula é um assunto encerrado  #lula #lavajato #sergiomoro #pt #corrupto https://tco/dayn64jiep'"
'assista  https://tco/yizzomsu62  #monarquiaparlamentarista https://tco/yw0graz6b8'
'rt @amaury_andrade: @blogdojefferson vai ser um misto de ópera bufa e bebê de rosimary que povo doido '
'#brasilqueopovoquer é este que a pf vai nos devolver assim que terminar de prender este bando de políticos corruptos  https://tco/qv96dnjmzj'
'@revistaistoe @gleisi  kkkkkkk eu tbm na papuda ou em presidente bernardes analfabeto não tem cela especial né '
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
'@ptnacamara o #brasilqueopovoquer é um país sem corrupção '
'rt @crisoliveira360: @ptnacamara o #brasilqueopovoquer é um país sem corrupção '
'@jornaloglobo ahhh tá esse verme não desiste dessas mentiras '
'e ainda reclamam do general mourão  #intervencaomilitar  #foratemer #bolsonaro2018 https://tco/wyyljmvvfx'
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/lygdoj6qcv'
'falaram o mesmo contra trump  #intervencaomilitar  #foratemer #bolsonaro2018 https://tco/c6kfphy5yj'
'@rcp01 muitos não perceberam ainda que o nosso inimigo maior é o comunismo comandado plula/dilma/pt que continuam absolutam/impunes'
'rt @neusamandrade: hoje é dia fazer isso virar viral  @letraslimitadas @o_antagonista @marisascruz @aeciofaraujo https://tco/…'
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/4ukzxmdwdq'
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/ce8tyavpc4'
'rt @crisoliveira360: @ptnacamara o #brasilqueopovoquer é um país sem corrupção '
'esse tipo de gente é digno de pena😐  #morobrasilteapoia  avante #lavajato https://tco/znskvfag8t'
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'rt @mcissaguimaraes: passando pra lembrar vcs que amanhã é dia de  https://tco/13ciglqjbg'
'@missmoggia '
'rt @crisoliveira360: @ptnacamara o #brasilqueopovoquer é um país sem corrupção '
'rt @crisoliveira360: @ptnacamara o #brasilqueopovoquer é um país sem corrupção '
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'rt @crisoliveira360: @ptnacamara o #brasilqueopovoquer é um país sem corrupção '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'@erikakokay democracia é isso, mas o pronunciamento desta sra não é imperdível as vezes sinto saudades da moema gramacho '"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…'
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…'
"'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'"
'rt @crisoliveira360: @ptnacamara o #brasilqueopovoquer é um país sem corrupção '
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/z0ek7yumhe'
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/jywsr1zrbb'
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/s1t92wfptb'
'rt @eduardotiago: sério q descobertakkkkkk #foratemer #forarenan #forajuca #forapmdb  #forapsdb  https://tco/ntjpi3rwfq'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'minha tl é aberta e nela não defendo ou apoio nenhum bandido ao contrário de vc  https://tco/hmkzoyttux'
'@lulapelobrasil  é o que a sociedade brasileira quer #brasilqueopovoquer'
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/1je2w3jqai'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'funaro diz: temer recebia parte da propina de esquema do pmdb https://tco/a93uoucmdy #funaro #delação #foratemer   #lavajato https://tco/tt4'
'rt @mary_greicy: 94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade https://tco/vyhha…'
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/n3qiutzwrs'
'#intervencaomilitar  #foratemer #bolsonaro2018 https://tco/j6fxepx3si'
'rt @mary_greicy: 94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade https://tco/vyhha…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@veja aperta o 13 e confirma  https://tco/uzsnwp0uh6'
'#foratemer #foracorruptos #prisaoparatodososcorruptos  #ptnuncamais #politica #lavajato #corruptos #renova2018 #brasil #sos https://tco/irkkd7'
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
'existe cura gay sim  #curagay  https://tco/glzfq9lkes'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @mary_greicy: 94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade https://tco/vyhha…'
"'vou vomitar e já volto  #esquerdanuncamais pt precisa d novas lideranças mais espertas q eu, diz lula https://tco/2ssfi27q09'"
'@oslecmac74 @valdirene8975 @lucianotigana @phaviih2 @rcrevelone @alexfdmn @maulroou @pandarcds @markosbrito1 @osantipira @bobiackk @yghacci @a'
"'@o_antagonista coitada gleisi está tomando chá de meias sujas lula vai vencer o que a briga pra ver quem dorme no beliche de cima, né é ''
'@o_antagonista ainda bem que usou a condicional se a probabilidade maior é '
'feministas anti-homem querem criminalizar a gentileza e os elogios masculinos e proibir a paquera #feminismo  #folha #mulher #homem https://tc'
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @blogdotato67: @enquette_  com  em quem você votaria para presidente'
'@lulapelobrasil não existe mesmo nenhum partido roubou tanto quanto o pt e os petistas  '
"'@graavieira @acorda_meupovo @hsarapeck @desbocadadebar @shock1805 @dulcekarol13 @zehdeabreu @jotakar @xicosa @frulanis @silvionobre_jmv @oint'
'rt @titoporto10:  independe dos idiotas que o apoiam https://tco/k0xi9jplni'
"'@lulapelobrasil e levou pra odebrecht e friboy , camargo corrêa  etc'"
'@lulapelobrasil tá tudo provado  nos autos dos processos  apresente os recibos do pagamento do aluguel seu ladrão  https://tco/l7p5cuadyz'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@uolnoticias vagabundo sua hora está chegando '
'é muita cara de pau   https://tco/x5khtznh7t'
'@lulapelobrasil e seus bilhões escondidos  sua honra  você não tem honra '
'rt @galo9x2:  #lula2018preso https://tco/lkvafpzbq2'
'rt @blogdotato67: @enquette_  com  em quem você votaria para presidente'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
"'rt @malditopt: vou vomitar e já volto  #esquerdanuncamais pt precisa d novas lideranças mais espertas q eu, diz lula https://…'"
'democracia é isso: eu assim como milhões de brasileiros honestos anseiam  aceitando vc ou não essa é a minha opinião https://tco/lvd3cu2b'
'rt @mary_mayah: democracia é isso: eu assim como milhões de brasileiros honestos anseiam  aceitando vc ou não essa é a… '
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'@muylaerte @lulapelobrasil @gleisi @ptbrasil @lindberghfarias mais uma para o molusco safado #lulacondenado '
"'🚍fim de lula 18outra degeneração moral,mental e comportamental do líder dos burros é detectadaescondam as cabritas  #charge  https://t'
"'rt @malditopt: vou vomitar e já volto  #esquerdanuncamais pt precisa d novas lideranças mais espertas q eu, diz lula https://…'"
'rt @mary_greicy: 94% dos brasileiros querem a #extinçãodopt e seus aliados políticos corruptos   https://tco/3g0bvjhldd'
"'@lulapelobrasil ativamente para vaquinha de tênis para caminhada, pois vai precisar quando for a pé para curitiba '"
'para quem não acredita que existe meio-gay #curagay  https://tco/96syqpjk7z'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'@portalr7 a quem esse sujeito quer enganar é o #pt está achando q vai boicotar eleições em 2018  lunático'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
"'rt @malditopt: vou vomitar e já volto  #esquerdanuncamais pt precisa d novas lideranças mais espertas q eu, diz lula https://…'"
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zyrsrh50bs … https://tco/jqflf2mbkx'
'retweeted ivani basso (@iabsilva2):  é muita cara de pau   https://tco/ehxdqtzd7i https://tco/iae6gw0rwb'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@veja  #lulanuncamais'
'rt @neusamandrade: hoje é dia fazer isso virar viral  @letraslimitadas @o_antagonista @marisascruz @aeciofaraujo https://tco/…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'  https://tco/me2a2cvswf'
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'rt @to_de_olho: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zyrsrh50bs … https://t…'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'  //  chega de impunidade'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'rt @carvaparecida:   //  chega de impunidade'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'@magnomaltaofc @sandrabrasilia @laurietecantora @josemedeirosmt @pastormalafaia @sos maravilhoso '
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'a verdade dói, mas liberta  um post vale mais que mil palavras  https://tco/v4pv4d4opl'"
"'pressionarmos nasredessociais  há movimentação intensa da esquerda p/livrar lula,inclusive janot colocou temer como chefe,impos https://tc'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'rt @to_de_olho: a verdade dói, mas liberta  um post vale mais que mil palavras  https://tco/v4pv4d4opl'"
'é pouco   https://tco/j2wm9pbvrr'
'  #lulainelegivel https://tco/ebvneaiqmy'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'rt @marizmarcella: é pouco   https://tco/j2wm9pbvrr'
"'rt @to_de_olho: a verdade dói, mas liberta  um post vale mais que mil palavras  https://tco/v4pv4d4opl'"
'rt @galo9x2:  #lula2018preso https://tco/lkvafpzbq2'
'rt @marizmarcella: é pouco   https://tco/j2wm9pbvrr'
'rt @marizmarcella: é pouco   https://tco/j2wm9pbvrr'
'rt @marizmarcella: é pouco   https://tco/j2wm9pbvrr'
'hahahaha  https://tco/ph9gzuqbof'
"'janopt saiu, alguém precisa continuar a blindagem  https://tco/tlp6cwzgnl'"
'rt @osvladpereira: 7x réu lula vira réu por ‘venda’ de medida provisória a montadoras de veículos  https://tco/bhsalze19d vi…'
"'rt @to_de_olho: a verdade dói, mas liberta  um post vale mais que mil palavras  https://tco/v4pv4d4opl'"
'rt @izidiooliver: hihihi    https://tco/6kbjneyjnf'
"'rt @to_de_olho: a verdade dói, mas liberta  um post vale mais que mil palavras  https://tco/v4pv4d4opl'"
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'  #lulainelegivel https://tco/9inmirs5vy'
"'rt @to_de_olho: a verdade dói, mas liberta  um post vale mais que mil palavras  https://tco/v4pv4d4opl'"
'@antniomendesfa1 @marisascruz esse negócio de manter emprego público com a finalidade de comer o cu dos outros tem q acabar '
"'alguém tem que avisar porchat que quem deu o   maior golpe, saqueou o país foi lula/dilma/pt e seus apoiadores quadrilheiros  https://tco/j'
"'@danadjuto 🏹e ai, td bem subprocuradora etelvina e o corrupto patético condenado só acumula derrotas, pertinho da cela q é seu lugar�'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
"'@movavantebrasil e o corrupto patético condenado já deve ter acumulado um triplex de derrotas judiciais, tá pertinho da cela q é seu luga'
'boa noite 🇧🇷🇧🇷🇧🇷✔🎯 #anossabandeirajamaisseravermelha  #naovamosdesistirdobrasil #brasil #bolsonaro2018 #bolsonaropresid'
'eu adoroooooooo eses ses  valeu @gleisi    https://tco/2q2xygo9lc'
'@revistaistoe so fala merda esta mulher '
'#rockinrionomultishow #rockinrio2017 fácil gritar #foratemer quero ver é gritar  povo hipócrita'
'stj nega pedido de lula que questionava suposta parcialidade de moro #sorocaba  #lavajato #moro'
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'moro dá 15 dias a lula para provar que valores bloqueados são de marisa  https://tco/xrxrddhllo'
'égua não  #naosouburro #votonulo https://tco/i6vyumsajg'
'a caravana da vergonha cômico se não fosse trágico  https://tco/6e6o2cpbnc'
'@veja se lascou kkkkkkk '
'rt @bhuoriescaussoy: moro dá 15 dias a lula para provar que valores bloqueados são de marisa  https://tco/xrxrddhllo'
' ministro do stj nega recurso de lula que apontava parcialidade de sérgio moro https://tco/btb3irpngd'
'vamos ficar atentos é  nesses atropelos é que câmara e senado enfiam emendas absurdas#abusodeautoridade olho no gil mar  '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @to_de_olho: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zyrsrh50bs … https://t…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @to_de_olho: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zyrsrh50bs … https://t…'
'rt @arcofi:  ministro do stj nega recurso de lula que apontava parcialidade de sérgio moro https://tco/btb3irpngd'
'segundo o vagabundo mor da corrupta política brasileira diz que “mexeram com o cara errado”  https://tco/63bb8ykx58'
'rt @bhuoriescaussoy: moro dá 15 dias a lula para provar que valores bloqueados são de marisa  https://tco/xrxrddhllo'
"'@trf4_oficial @jwellingtonmelo bravo trf4 , e muita cara de pau seu destino  e outro '"
'rt @bhuoriescaussoy: moro dá 15 dias a lula para provar que valores bloqueados são de marisa  https://tco/xrxrddhllo'
'se viu que linda ação da polícia com os assaltantes #esquerdalixo    #bolsonaro2018 🤘🏼🤙🏼🙌🏼 https://tco/zdaeuzfgws'
'@diariodopoder o poderoso passa dos limites e os acovardados baixa a cabeça  vai querendo pq justiça do #brasil nem pensar'
'adianta desviar o foco da coisa não aqui o foco eh lula na cadeia   https://tco/ggj0e0obeo'
"'rt @to_de_olho: a verdade dói, mas liberta  um post vale mais que mil palavras  https://tco/v4pv4d4opl'"
'imposto é roubo #mercadopopular #business #management #accounting #finance 🇨🇦🇧🇷  #mbl… https://tco/6kveb3rfil'
'alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial @jfpr_oficial @stf_oficial https://tco/v8r'
"'esse sujeito é, além de corrupto contumaz,candidato a sucessor de pinóquio distorce fatos p/sobreviver, juiz ñ afirmou isso  https://tco/'
'agora essa merda estah sendo leviano sobre a decisão do juiz    https://tco/qhfldzzgqq'
'rt @rosangela_bolze: alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial… '
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
'rt @izidiooliver: agora essa merda estah sendo leviano sobre a decisão do juiz    https://tco/qhfldzzgqq'
'@souguereira @rsgomes1971 chora mais '
"'inconsequente e inescrupulosa,lula é o maior ladrão do país,só da odebrech e jbs recebeu300milhões e 150milhdólares=800milhões, https:'
'@movavantebrasil chora zanin burro deseperadoooo '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @rosangela_bolze: alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial… '
'um dia eu queria provar da cachaça que o luladrão toma  https://tco/2oqlvnm72x'
'cala a boca hepta réu criminoso chefe @lulapelobrasil @inst_lula     brasil exige @trf4_oficial @jfpr_oficial @stf_oficial https://tco/efiuuf'
'rt @rosangela_bolze: cala a boca hepta réu criminoso chefe @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
'#eleições em quem você votará para presidente em 2018   estará fora da disputa'
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'rt @rosangela_bolze: cala a boca hepta réu criminoso chefe @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
'heptaréu criminoso chefe invoca marisa @lulapelobrasil @inst_lula     brasil exige @trf4_oficial @jfpr_oficial @stf_oficial https://tco/czawr'
'rt @rosangela_bolze: heptaréu criminoso chefe invoca marisa @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
'vai sonhando  https://tco/nfsuuossyz'
"'@allancrf81 @alefrotabrasil que é isso um esquerdopata homofóbico chega, o mundo acabou  #aécionacadeia #temernacadeia #dilmanacadeia'"
'@o_antagonista 🤣🤣🤣🤣🤣🤣🤣🤣🤣 esse zanin é uma piada está atolado até o pescoço c sua esposinha e sogrinho nas negoc'
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'  por um país decente prendam esse bandido&gt; @lulapelobrasil  corruptos na cadeia já @stf_oficial @mpf_pgr @policiafederal https://tco/eon'
'rt @iaragb: vamos dizer pra ele o que o brasil quer  https://tco/wdjv8uvkzs'
'esse jararaca não aprende o bandido e eleeeeeeeee  https://tco/7cykre5ssx'
' já  lugar de bandido é na cadeia atenção @policiafederal @mpf_pgr @deltanmd @mpf_sp queremos todos oa corruptos na cadeia https://tco/g3t'
' https://tco/clokq9pv30'
'rt @mary_mayah:  já  lugar de bandido é na cadeia atenção @policiafederal @mpf_pgr @deltanmd @mpf_sp queremos todos… '
' https://tco/srmnhm2lwo'
'nem plano a nem plano b @lulapelobrasil @ptbrasil   plano c de cadeia   @trf4_oficial @jfpr_oficial @stf_oficial https://tco/axagp3leal'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@danadjuto primeiramente  https://tco/uanndzhux7'
'chora esquerdalha imundo   #aecionacadeia #gleisinacadeia e vc continue lambendo saco sujo e fedido de corruptos mau-caráter https://tco/jle2'
'rt @rosangela_bolze: heptaréu criminoso chefe invoca marisa @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
'rt @rosangela_bolze: nem plano a nem plano b @lulapelobrasil @ptbrasil   plano c de cadeia   @trf4_oficial @jfpr_oficial… '
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'pedido de suspeição ao stj foi negado a lula a chincana da defesa de lula está chegando fim  https://tco/orr9r6sy8q'
' https://tco/ai2ypcxu9o'
' https://tco/x6jhc3ydqk'
'@caranovanocongr @lulapelobrasil @gleisi @diamantarusso podreeee '
'@valehomossexual @belokarine_  #bolsonaro2018 #bolsonaropresidente2018'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
' https://tco/5nz4afyqqg'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'rt @marinaldo_m: pedido de suspeição ao stj foi negado a lula a chincana da defesa de lula está chegando fim  https://tco/o…'
'@valehomossexual @belokarine_ kkkkkkkkkkkkkkkk '
'rt @rosangela_bolze: cala a boca hepta réu criminoso chefe @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
' https://tco/mh7r98mmvf'
'  @lulapelobrasil https://tco/q4hubzsqru'
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
' https://tco/1dsnpzraqf'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'ajoelhou tem que rezar agora filho da puta  https://tco/rflgqpcd4z'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'cadeia para subprocuradora áurea pierre - a engavetadora de 1000 processos olho @stjnoticias   #somostodosmoro  https://tco/pb5houqui4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
' https://tco/s6w0ucgrwv'
'rt @profgilbertot:  https://tco/clokq9pv30'
'safado que n respeitava a mulher em vida e mostra o fdp q é colocando a culpa na defunta  https://tco/auwteigika'
'rt @rosangela_bolze: nem plano a nem plano b @lulapelobrasil @ptbrasil   plano c de cadeia   @trf4_oficial @jfpr_oficial… '
'rt @rosangela_bolze: heptaréu criminoso chefe invoca marisa @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
' https://tco/frpmq5pr0j'
'rt @rosangela_bolze: cala a boca hepta réu criminoso chefe @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
' https://tco/a6ivdcywan'
'rt @rosangela_bolze: alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial… '
' https://tco/1qmezxryok'
"'levou pau denovo, idiota lá trf-4 vai continuar na mao do  moro @lulapelobrasil '"
' https://tco/k9i7aq6142'
' https://tco/v1rgn6irdj'
'rt @rosangela_bolze: nem plano a nem plano b @lulapelobrasil @ptbrasil   plano c de cadeia   @trf4_oficial @jfpr_oficial… '
'rt @marizmarcella:   @lulapelobrasil https://tco/q4hubzsqru'
"'impressiona a seriedade,competência e segurança do juiz moro, que passa uma honestidade incrível dá-lhe moro,  https://tco/yaf3qygmop'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @rosangela_bolze: nem plano a nem plano b @lulapelobrasil @ptbrasil   plano c de cadeia   @trf4_oficial @jfpr_oficial… '
'rt @mary_mayah: chora esquerdalha imundo   #aecionacadeia #gleisinacadeia e vc continue lambendo saco sujo e fedido d… '
'@jornaloglobo @guta5300 lulaaaaaaa sua hora está chegando '
