texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 https://tco/kcjp1avx9m'
'estão queimando a bandeira do brasil  #intervençãomilitarjá https://tco/lh99pfvslc via @youtube'
'@estadao @estadaomoda '
"'@estadao @estadaomoda já falou fora temer, já sofre de deficiência na memória fora que o talento dos arti$ta$ de hoje é zero #fakenews   https://tco/6lor89bgfi'"
'rt @ezequiasns:  https://tco/yh82tomg46'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/qfqnskji41'
'rt @ezequiasns:  https://tco/01ntmcw0ry'
'#thewhonomultishow the who no rock in rio e '
"'@veja petista, nada anormal, somente imbecis que ainda defendem lula, dilma e outros, sem mais '"
'rt @ezequiasns:  https://tco/grmtnkiihh'
'rt @ary_antipt: só pra não esquecer lula na cadeia    https://tco/nsy7vrobui'
'rt @paulacamara_: mourão e o recado a lula   https://tco/w6wznnhrv3 https://tco/si7ir0a5sd'
"'toca , por favor #heinekenplay'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'retweeted marco antonio villa (@villamarcovilla):    #ptextinçãojá @villamarcovilla https://tco/urfthzjmve'
"'@alvarodias_ segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas também'"
"'segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas também https://tco/cceioio2d4'"
'@onubrasil @raimundoangelim  #dilmanacadeia'
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…'
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…'
"'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'"
"'presos só na manchete do jornal pq na vida real, tão livres #cadeiapratodoscorruptosjá já https://tco/q8mrw4bgid'"
"'segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas também https://tco/5gmlzody4r'"
"'@danikpmoraes segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas também'"
"'rt @marimpnetto: @danikpmoraes segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus compa…'"
"'rt @marimpnetto: segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas ta… '"
"'rt @marimpnetto: segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas ta… '"
'rt @ezequiasns:  https://tco/9v06gth8ve'
'rt @osvladpereira: pt decide suspender palocci por confessar crimes e incriminar lula   https://tco/3rzarvxwtn https://tco/z…'
'@vazamaia @lutandomuito @aliceelendutra3 @zethede @luheisenberg @rcrevelone @rodrigojfmg1981 @isabelviso @rubenscrevelone @chico_amaro @barella_sfc @ioneatuante4 @giovannarocco @sylvestresergio @arykame @severino_freud @bobjackk @thiagofc3079 @sandracantii @pablitohistory @arisirius @ceribeiro82 @mlulatica @rubinhoarte @ramesojalves @pgiolli @antonsilva @betozsantos @periodistabr @vagnerjack @walfredocarlos @valmont1 @mariluparreiras @fatimaleaum @edson13pt @ulises_4inter @mary_mayah @auberaraujo @rmelette @uli_cassilva @maulroou @crisbezig @rightthingbr @nikolasspagnol @bobiackk @vazatemer @jensoares73 @vanusaabreuc tipo isso  https://tco/gjv6zfbn1x'
"'rt @marimpnetto: segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus comparsas ta… '"
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @neusamandrade: hoje é dia fazer isso virar viral  @letraslimitadas @o_antagonista @marisascruz @aeciofaraujo https://tco/…'
'rt @ezequiasns:  https://tco/9v06gth8ve'
'rt @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos https://tco/aevzx6usgp'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @mary_greicy:     #emendalulanão  #fundopartidárionão https://tco/8wejdoiqka'
'rt @ricabudi: @muylaerte hahahaha perfeita definição bêbado mijado  e pra cadeia já '
'rt @neusamandrade: hoje é dia fazer isso virar viral  @letraslimitadas @o_antagonista @marisascruz @aeciofaraujo https://tco/…'
'rt @ezequiasns:  https://tco/yh82tomg46'
'rt @ezequiasns:  https://tco/iynxk0ra6u'
'rt @ary_antipt: só pra não esquecer lula na cadeia    https://tco/nsy7vrobui'
'rt @ezequiasns:  https://tco/t8ngkvgeyj'
'@ezequiasns @marimpnetto  #fundodacorrupcao  #cabecasdoquadrilhao #pracimadelesmourão https://tco/c2r1eioaxs'
'rt @mfrancanunes: @ezequiasns @marimpnetto  #fundodacorrupcao  #cabecasdoquadrilhao #pracimadelesmourão https://tco/c2r1eioaxs'
'rt @ezequiasns:  https://tco/iynxk0ra6u'
'rt @ezequiasns:  https://tco/iynxk0ra6u'
'rt @ezequiasns:  https://tco/iynxk0ra6u'
'rt @ezequiasns:  https://tco/iynxk0ra6u'
'rt @alves_faraco: @mariadorosario vc é burra assim mesmo ou é mau intencionada fala sério né    #bolsonaro2018'
"'@paulazanelli , temer e seus comparsas também'"
"', temer e seus comparsas também https://tco/bvtbablihg'"
"', temer e seus comparsas também https://tco/ctdb2xwxlr'"
"'@ericamaral10 , temer e seus comparsas também'"
'#anne  #foracorruptos  #somostodosmoro  #lulanoxadrez https://tco/fubve0ygrv'
'rt @ezequiasns:  https://tco/iynxk0ra6u'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
"'@lulapelobrasil a esquerda começou a crescer por erro dos militares, qnd deixaram vcs se reunirem secretamente em 65 '"
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/oezqjahfbk'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…'
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…'
"'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'"
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @mary_greicy:     #emendalulanão  #fundopartidárionão https://tco/8wejdoiqka'
'@estadao @estadaomoda poque antes não tinha '
'rt @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos https://tco/aevzx6usgp'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @paulacamara_: lula tem duas derrotas em pedidos contra moro    https://tco/pmspqhdmfs'
'rt @ezequiasns:  https://tco/p9cbwra5q4'
'rt @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos https://tco/aevzx6usgp'
'rt @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos https://tco/aevzx6usgp'
"'rt @marimpnetto: @danikpmoraes segundo temer  e a corja politica a culpa é dos aposentados , temer, dilma, aécio e seus compa…'"
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/evh1vahhcj'
"'e assim que se governa, comprando votos https://tco/96bkrrqscp #bolsonaro2018  #privatizatudo'"
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos https://tco/aevzx6usgp'
'eu disse que ela ia tratar de assuntos de interesse dos interessados https://tco/r2cfo8i3gg #bolsonaro2018  #privatizatudo'
'rt @ezequiasns:  https://tco/mwtbqsawwm'
'rt @ary_antipt: só pra não esquecer lula na cadeia    https://tco/nsy7vrobui'
'@marcuspitter se o dinheiro fosse dela😏 é por isso que eu odeio esse pt adoram fazer festa com o dinheiro alheio  #lavajatoeuapoio'
'rt @ximenmalhador: chega de roubalheira do pt #foradilma  https://tco/rmrycbh2ur vote hard for 5h'
'rt @ezequiasns:  https://tco/9v06gth8ve'
'rt @ezequiasns:  https://tco/rnawy9pvyq'
'rt @ezequiasns:  https://tco/cut1yfiglb'
'rt @ezequiasns:  https://tco/p9cbwra5q4'
'rt @ezequiasns:  https://tco/slnqo3dakv'
'rt @ezequiasns:  https://tco/evh1vahhcj'
'rt @ezequiasns:  https://tco/grmtnkiihh'
'rt @ezequiasns:  https://tco/grmtnkiihh'
'rt @ezequiasns:  https://tco/evh1vahhcj'
'rt @ary_antipt: só pra não esquecer lula na cadeia    https://tco/nsy7vrobui'
'📣o povo sabe quando tem eleição:lula se veste de pobre se faz de humilde  quer voto pra continuar metendo a mão   solução do 🇧🇷 https://tco/2cb8gl2dxn'
'rt @ezequiasns:  https://tco/cut1yfiglb'
'rt @ezequiasns:  https://tco/cut1yfiglb'
'rt @ezequiasns:  https://tco/up5fkob5fj'
'rt @ezequiasns:  https://tco/n7xa8defy1'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/cut1yfiglb'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
"'@alyssonvelin @heldersalomao @mpf_pgr @micheltemer 10mi para cada um faz-me rir,foram de graça, br não será uma vnz, todos pelo fim dos comuno-bolivarianos  por um brasil sem pt'"
'rt @osvladpereira: pt decide suspender palocci por confessar crimes e incriminar lula   https://tco/3rzarvxwtn https://tco/z…'
'rt @ary_antipt: só pra não esquecer lula na cadeia    https://tco/nsy7vrobui'
'rt @ezequiasns:  https://tco/n7xa8defy1'
' https://tco/u1k2fsomcv'
"'@portalmsn se anda existe justiça nesse país, tem que barrar mesmo  a desse crápula corrupto, e a dos outros corruptos também  '"
'  #lulainelegivel https://tco/psqahcpeop'
'rt @lenicelima:   #lulainelegivel https://tco/psqahcpeop'
'rt @ezequiasns:  https://tco/cut1yfiglb'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/cut1yfiglb'
'rt @lenicelima:   #lulainelegivel https://tco/psqahcpeop'
"'@uolnoticias o universo mente contra o lula, kkkkkkkk  piada, '"
'rt @ezequiasns:  https://tco/cut1yfiglb'
'@bobjackk @ioneatuante4 @pipeline1975 @roluli @mary_mayah @zethede @maulroou @luheisenberg @rcrevelone @rodrigojfmg1981 @isabelviso @lutandomuito @rubenscrevelone @chico_amaro @barella_sfc @giovannarocco @sylvestresergio @arykame @severino_freud @thiagofc3079 @sandracantii @pablitohistory @arisirius @ceribeiro82 @mlulatica @rubinhoarte @ramesojalves @pgiolli @antonsilva @betozsantos @periodistabr @vagnerjack @walfredocarlos @valmont1 @mariluparreiras @fatimaleaum @aliceelendutra3 @edson13pt @ulises_4inter @auberaraujo @rmelette @uli_cassilva @crisbezig @rightthingbr @nikolasspagnol @bobiackk @vazatemer @vazamaia @jensoares73 @vanusaabreuc quero q aécio pague e seja preso por todos os ilícitos que cometeu e assim também todos os corruptos que roubam nossa nação '
'@blogdonoblat primeiramente #bolsonaro presidente  #lula #noblatlixo'
'graças à deus o mundo não acabou hoje não podemos morrer antes de ver o  https://tco/nrtn5aaesm'
'@roxmo @luizcarlosrns não chamaram porque o roger ia mandar um  e boa parte do público ia corresponder e não ia pegar bem pra lacração'
'@portalmsn já começaram a comprar as pesquisas'
'rt @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos https://tco/aevzx6usgp'
'a melhor música dos últimos tempos 👏🏼👏🏼👏🏼  https://tco/ovdzloy0v0'
"'@revistaistoe eu apoio, inclusive, que eles não participem nunca mais '"
'@estadao mentira tem perna curta o pt sempre usou perna de pau encobrir as falácias parece que agora tem cupim na madeira das pernas '
'esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'enquanto a mídia endeusar criminoso e falar mal da polícia  nada vai mudar  https://tco/xi5umqwwjf'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'@estadao chegou a hora do brasil valorizar a decência e esquecer de vez quem nos humilhou vamos enterrar esta carcaça pra sempre '
"'@chico_pinheiro cadê a outra parte ,lulaladrão e dilmanta não existe bandido melhor que o seu ou o meu #todosmacadeia#da-lhemourao#da-lhemoro'"
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'@revistaistoe ótimo foram dizimados na última eleição fariam um favor de não atrapalhar parece q a #peia q tomaram não aprenderam nada '
'@revistaistoe '
' https://tco/5f3naj9l2l'
"'rt @xelelete: @micheltemer  #forarenan #forastf , como disse cazuza “os políticos transformam o país inteiro num puteiro… '"
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'@revistaistoe vamos boicotar é o pt nas próximas eleições '
'rt @osvladpereira: vem ai a 2ª condenação na 1ª  instância e a 1ª condenação na 2ª instância  https://tco/jy2n9lvm5y'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'@exame já ando até com pena pressão psicológica sem trégua '
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
'@gleisi @mpf_pgr aumenta cerco em bandido @lulapelobrasil é o que é queria o quê  #lulaladrão #gleisinacadeia #petralhada'
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'@estadao '
'rt @ezequiasns:  https://tco/yh82tomg46'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
"'@ptbrasil @lulapelobrasil candidatíssimo para ser preso em 2018, em todos os cenários é '"
'lava jato amplia cerco a lula com mais 6 apurações qdo vão prender lula   https://tco/titjj248n7'
'rt @ezequiasns:  https://tco/k7o5yy4jf9'
' https://tco/rxbaacld2m'
'drogado e petista não tem como manter a beleza mesmo não  #prontofalei    https://tco/ojsjlvcdbj'
'a coisa tá feia #lavajato  lava jato amplia cerco a lula com mais 6 apurações https://tco/pqsjwdymus https://tco/g8vpj9a8zm'
'@osaidde já passou da hora '
'@diogomainardi '
'rt @sandrarcreyes: @osaidde já passou da hora '
"'@gleisi esqueceram que o luladrão é eletivo, o juiz não auto-explicativo 1  ah, só não vale comprar pesquisa auto-explicativo 2 '"
'rt @sandrarcreyes: lava jato amplia cerco a lula com mais 6 apurações qdo vão prender lula   https://tco/titjj248n7'
'lava jato amplia cerco a lula com mais 6 apurações    https://tco/rzduszuqfk'
'rt @paulacamara_: lava jato amplia cerco a lula com mais 6 apurações    https://tco/rzduszuqfk'
'@ptbrasil @lulapelobrasil esse é o cenário que luladrão ganha em todas as pesquisas  https://tco/j1jpvjhh5d'
'uol divulgando fake news do blog 247 sobre moro o problema é o crime ou o juiz uol  '
'rt @ezequiasns:  https://tco/9v06gth8ve'
'@estadao @estadaomoda kkkkk '
'lula agora eh uma rocinha cercada de facções rivais    https://tco/s7ihby7xls'
'rt @paulacamara_: lava jato amplia cerco a lula com mais 6 apurações    https://tco/rzduszuqfk'
"'  #gleisinacadeia contra a constituição de 88, contra o plano real, contra o brasil, contra a https://tco/rhscfssbha'"
'rt @ezequiasns:  https://tco/mwtbqsawwm'
'rt @ezequiasns:  https://tco/yh82tomg46'
'rt @paulacamara_: lava jato amplia cerco a lula com mais 6 apurações    https://tco/rzduszuqfk'
'rt @ezequiasns:  https://tco/p9cbwra5q4'
'rt @ezequiasns:  https://tco/yh82tomg46'
'rt @ezequiasns:  https://tco/yh82tomg46'
"'@policiafederal bom dia da pf, tudo que o lula mais tem medo #somostodospf '"
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'só o que faltava #foradilma  https://tco/cinmbs2nyn'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'@justiav @n_carvalheira sabe q no fim vai dar tudo em uma bela pizza os bandidos agora dizem  se lula que roubou o brasil inteiro tá solto '
'@blogdojefferson 😂😂😂 deus te ouça  '
'realmente estamos séculos atrasados  agora descobrirem que os parlatórios americanos são a solução para nossos presídios  '
'amem   https://tco/i6tmf2i0tq'
'@marcosportela @folha  já'
'rt @paulacamara_: lava jato amplia cerco a lula com mais 6 apurações    https://tco/rzduszuqfk'
'@ptbrasil filiação de novos militontos https://tco/sg0uvri4rm'
'@ptbrasil @reginaldolopes @lulapelobrasil palocci manda lembranças seus corruptos '
'kkkkk prova concreta  https://tco/nrczmoyq44'
'@portalr7 um bandido a menos na disputa '
' #foracomunistas  https://tco/8qk853hij5'
'rt @ezequiasns:  https://tco/oezqjahfbk'
'rt @rodrigocmilena: @ptbrasil @lulapelobrasil esse é o cenário que luladrão ganha em todas as pesquisas  https://tco/j1jpvjh…'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'@rosevplb '
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'só pra lembrar galera sou de direita e quero  vlws flws #domingodetremurasdv'
"'perseguição ódio de classe povo aplaude e quer  a máscara caiu acabou a robalheira cai na real, a senhora vai presa também https://tco/rpswnlu6bp'"
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @paulacamara_: lava jato amplia cerco a lula com mais 6 apurações    https://tco/rzduszuqfk'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'@kepler_nicolaus @janainadobrasil #forapetralha #somostodosmourão  '
'@jandira_feghali  '
'rt @sandrarcreyes: lava jato amplia cerco a lula com mais 6 apurações qdo vão prender lula   https://tco/titjj248n7'
'@o_antagonista eu não acredito em pesquisas de opinião  a lava-jato nos mostrou que elas são pagas por empreiteiras enroladas em propinas  '
'um ex-presidente condenado e uma ex-presidente que sofreu #impeachment não podem voltar ao poder  https://tco/lu9jdxhobq'
'@odecarvalho @pedrosolidus ninguém (de bem) levou essa entrevista à sério é só mais uma tentativa de tirar as redes sociais do foco de  e da #lavajato'
'um ex-presidente condenado e uma ex-presidente que sofreu #impeachment não podem voltar ao poder   https://tco/41xxr97gd5'
'boataria é boataria https://tco/rse8sotipp '
' https://tco/dbz1ykrhdq'
'@jairbolsonaro nosso futuro presidente #bolsonaro2018 '
'@mdfluminense @robertakirsten @monica3429 @gipiu @iaragb @rosevplb @ivaniacviana @vandaraboni @cibelecamargo4 se não há a mínima dúvida de que ele será preso e mofara nas grades '
'@msubcomandante @estadao não esquece que lula teve 👉🏼dilma  '
"'@bolsonarosp violência generalizada e aumentando, precisamos mudar ou a bandidagem vai dominar #botamoraltemer  #bolsonaro2018'"
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/oezqjahfbk'
'@comunacritico @beruta que bela prova hein pedir agora é crime  #naovequemnaoquer  '
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'@ptbrasil @lulapelobrasil luladrão @jairbolsonaro é o único honesto  https://tco/mwmf6mr2z2'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/ecxi4rx6qd'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @mahggasantana:  https://tco/5shszhum4z'
'rt @mahggasantana:  https://tco/51lxluir49'
'rt @mahggasantana:  simbora meu povo https://tco/ay1bexrnql'
'irónico não  https://tco/luzd263wrm'
' jaaa'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
' que a justiça seja feita para todos que acabaram com este pais 🔚 https://tco/yvuhvhrn9w'
'rt @ezequiasns:  https://tco/iynxk0ra6u'
'@beruta @sabrina261079 tudo isso    e ainda assim qta atenção   '
'@veja '
'@revistaistoe eu apoio  com  e #dilmapresa'
"'@odecarvalho @pedrosolidus não quero saber o que @odecarvalho fez ou deixou de fazer, nunca usou dinheiro público só quero '"
'pq as celebridades não usam brincos   https://tco/4eksanx4ge'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'quem foi o maior ladrão do brasil   até hoje #bolsonaro2018 '
"'vou criar uma nova moda de  brincos , será se vai pegar  https://tco/8anaskpdb3'"
'rt @vieirabazilio: quem foi o maior ladrão do brasil   até hoje #bolsonaro2018 '
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/oezqjahfbk'
'rt @vieirabazilio: quem foi o maior ladrão do brasil   até hoje #bolsonaro2018 '
"'golpistas ne hahahha faça me rir, em 2018, vocês vão ver os verdadeiros #golpistas na #cadeia  https://tco/rt1uelgisu'"
"'@valescaoficial 54 milhões de imbecis votaram no temer, espere 2018    eu quero o fim da lei rouanet  @camaradeputados https://tco/9m0cfyt1y7'"
'muito relevante   eh a justiça vencendo o crime   https://tco/doshees1ga'
'rt @paulacamara_: lava jato amplia cerco a lula com mais 6 apurações    https://tco/rzduszuqfk'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'não vejo a hora disso acontecer  @trf4_oficial https://tco/6zlrwf3kw4'
"'pt e seus integrantes, são  sinônimo de quadrilha, roubo e tudo que é safadeza  com seus cúmplices já https://tco/rslqt7xx30'"
'@semclubismo_fc tá no time certo o mais sujo do futebol brasileiro '
"'rt @archertereza: pt e seus integrantes, são  sinônimo de quadrilha, roubo e tudo que é safadeza  com seus cúmplices já http…'"
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'rt @ritaoli36702816: não vejo a hora disso acontecer  @trf4_oficial https://tco/6zlrwf3kw4'
'e vem aí  para começar o fim da impunidade e o início da moralização no brasil https://tco/blcgnnlips'
'@o_antagonista #foragilmar  #maduropreso #foratemer #foraaecio #mpindependente #3poderespodres #naoreelejaninguem #10medidas'
"'e vem aí , para começar com grande festa, o fim da impunidade e o início da moralização no brasil https://tco/blcgnnlips'"
'rt @vieirabazilio: quem foi o maior ladrão do brasil   até hoje #bolsonaro2018 '
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @archertereza: e vem aí  para começar o fim da impunidade e o início da moralização no brasil https://tco/blcgnnlips'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
"'rt @luisprado1709: @revistaistoe eu apoio, inclusive, que eles não participem nunca mais '"
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
"'@anaamelialemos @lobaoeletrico ana amélia, parabéns pelo bom trabalho  #iolandanacadeia'"
'rt @ezequiasns:  tiranos inimigos da pátria investiram na infra-estrutura dos países vizinhos https://tco/aevzx6usgp'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
"'@exame justiça deve barrar sérgio cabral em disputa pelo governo do rio, prevê os gênios da mídia lugar de bandido é na cadeia '"
'rt @ezequiasns:  https://tco/epaksokxv8'
"'rt @luisprado1709: @revistaistoe eu apoio, inclusive, que eles não participem nunca mais '"
"'rt @luisprado1709: @revistaistoe eu apoio, inclusive, que eles não participem nunca mais '"
'rt @ezequiasns:  https://tco/jcalbim1jj'
'rt @ezequiasns:  https://tco/32nqx2olyd'
'rt @ezequiasns:  https://tco/w9glgy8uzl'
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
"'rt @blogdotato67: farah jorge farah se mata, após ter prisão decretada aí  fica a dica'"
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'rt @vieirabazilio: quem foi o maior ladrão do brasil   até hoje #bolsonaro2018 '
'@exame demorou demais '
"'dos grandes intelectuais formadores de opiniao desse pais, e que defendem #minc, quantos tiveram o privilegio da lei rouanet '"
"'rt @blogdotato67: farah jorge farah se mata, após ter prisão decretada aí  fica a dica'"
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'dá tempo de pensar coisa que não presta  #apóiolavajato  #midiacontrabrasil https://tco/ob1lule10m'
'heptarréu❗️  #apoiolavajato #somostodosmoro  https://tco/ozlhhs7yey'
'lixo  #apóiolavajato #midiacontrabrasil https://tco/e8ncihdghi'
'rt @ezequiasns:  https://tco/slnqo3dakv'
'rt @ezequiasns:  https://tco/9v06gth8ve'
'rt @paulacamara_: esquerda já traça cenário para 2018 sem lula   https://tco/qztdjhawet'
'rt @ezequiasns:  https://tco/9v06gth8ve'
'rt @ezequiasns:  https://tco/9v06gth8ve'
'rt @ezequiasns:  https://tco/iynxk0ra6u'
'gostaria que o exército tomasse conta e vcs fossem pedir asilo e ter que viver onde vcs queriam que eu vivesse  https://tco/hu0r13kky7'
"'rt @sodeboabrazil: perseguição ódio de classe povo aplaude e quer  a máscara caiu acabou a robalheira cai na real, a… '"
'rt @ezequiasns:  https://tco/t8ngkvgeyj'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/9v06gth8ve'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/9v06gth8ve'
'rt @ezequiasns:  https://tco/9v06gth8ve'
"'@bolapromato9 @brasil_gilson @soldadluiz @stoffelshaus @sarcasmoman @weslleymarkus @jdoriajr tom vergonha nessa tua cara de pau deslavada quem apoia  não presta  vc não presta , pro brasil inútil  tamos de olho em vc'"
'amém 🙏🙏🙏🙏  https://tco/7wjwmqxn46'
'🇧🇷 ladrão https://tco/zjzkzixd7t'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'rt @ezequiasns:  https://tco/cut1yfiglb'
'@ericamaral10 '
'rt @ezequiasns:  https://tco/yjxyxdpo85'
'rt @ezequiasns:  https://tco/oezqjahfbk'
'rt @ezequiasns:  https://tco/gczoeb9pgm'
'no meu tempo tinha que canta hino e reza isso é muito bom deveria volta para escola do país #intervencaomilitar  https://tco/5przasreff'
'rt @ezequiasns:  https://tco/9v06gth8ve'
"'@o_antagonista mas moro é candidato a que se não é candidato a nada, qual a razão da pesquisa isso não passa de desespero presstralha '"
'rt @osvladpereira: vem ai a 2ª condenação na 1ª  instância e a 1ª condenação na 2ª instância  https://tco/jy2n9lvm5y'
'rt @ezequiasns:  https://tco/9v06gth8ve'
"'nos bastidores, pt e esquerda se preparam para lula fora de 2018 a nação brasileira agradece  https://tco/jsbbgorew1'"
